player,siera,x_fip,ip,score,k_rate,recent_k_average,below_average_count,overall_k_average,total_pitch_average,recent_pitch_count_average,worst_k
Glenn Otto,worst,worst,4.965217391304348,-7.0,0.7777777777777778,4.2,3,3.869565217391304,83.95652173913044,85.3,1.0
Jeffrey Springs,above average,above average,3.972413793103448,3.0,1.1111111111111112,5.4,2,4.275862068965517,63.37931034482759,81.6,0.0
Bailey Falter,below average,poor,4.2625,-1.5,0.911111111111111,5.0,0,3.6875,64.625,78.4,0.0
Spencer Strider,excellent,excellent,4.173333333333334,7.5,1.1111111111111112,8.2,3,6.4,72.36666666666666,94.8,0.0
Kris Bubic,worst,awful,4.648,-6.0,0.7777777777777778,4.3,2,3.76,80.16,85.5,0.0
Nick Pivetta,below average,poor,5.524137931034482,-3,1.0,4.9,4,5.275862068965517,92.65517241379311,93.4,2.0
Sandy Alcantara,above average,above average,7.006896551724138,2.5,1.0,5.8,6,6.241379310344827,101.58620689655173,100.1,3.0
Aníbal Sánchez,worst,worst,4.827272727272727,-7.0,0.6666666666666666,3.0,3,3.1818181818181817,87.18181818181819,86.9,0.0
Dean Kremer,poor,poor,5.511111111111111,-3.0,0.7777777777777778,4.0,5,4.0,87.11111111111111,88.3,1.0
Alek Manoah,average,below average,6.328571428571428,0.5,1.0,6.0,1,5.821428571428571,94.35714285714286,96.6,3.0
Joe Ryan,below average,poor,5.379166666666666,-2.0,1.1111111111111112,6.7,2,5.541666666666667,89.0,92.7,1.0
Cody Morris,worst,worst,3.0666666666666664,-6.5,0.911111111111111,0.9,1,3.0,63.333333333333336,19.0,2.0
Johan Oviedo,below average,poor,2.0588235294117645,-1.0,1.0,2.1,3,2.1176470588235294,38.23529411764706,36.6,1.0
Jacob deGrom,excellent,excellent,6.1375,6.5,1.1111111111111112,7.3,2,9.125,84.125,67.3,6.0
Ken Waldichuk,poor,awful,5.0,-3.5,0.911111111111111,1.4,1,4.666666666666667,89.0,26.7,2.0
Framber Valdez,great,great,6.637037037037037,6.0,1.0,7.3,1,6.2592592592592595,98.03703703703704,102.2,2.0
Gerrit Cole,excellent,excellent,6.106896551724137,6.5,1.1111111111111112,8.1,4,7.862068965517241,99.37931034482759,105.7,3.0
Jason Alexander,worst,awful,4.0,-5.5,0.5555555555555556,2.6,3,2.411764705882353,63.588235294117645,60.5,0.0
Luis Cessa,below average,below average,1.4285714285714286,-0.5,0.7777777777777778,2.4,2,1.1666666666666667,21.928571428571427,41.0,0.0
Jordan Montgomery,above average,above average,5.620689655172414,2,0.911111111111111,5.3,2,4.862068965517241,84.41379310344827,88.5,1.0
Ryan Feltner,poor,poor,4.6875,-3.5,0.911111111111111,3.7,7,4.25,82.9375,81.6,2.0
Javier Assad,worst,awful,4.220000000000001,-7,0.7777777777777778,1.8,2,3.6,74.0,37.0,1.0
